region,decade,id,cat_id,DNA_tissue,leaf_tissue,sampled?,extracted?,lab_id,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,successful?,institutionCode,catalogNumber,year,county,locality,decimalLatitude,decimalLongitude,notes,extr_tissue
SDLA,1950s,2456431,74282,3 axillary buds,"yes, cauline with basal morphology",y,y-N,26_016,1.71,13.3,1.79,3.43,y,,,1959,,,,,LA,
SDLA,1960s,2378585,74277," 2 axillary buds, 1 terminal bud","yes, basal",y,y-N,26_031,3.27,27.4,1.52,1.11,,,,1961,,,,,LA,
SDLA,1960s,5504851,684488,3 axillary buds,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1962,,,,,LA,
SDLA,1960s,375692,SDSU01215,3 tiny axillary buds,"yes, cauline, not basal morphology",y,y-N,26_082,1.72,11.2,1.78,2.07,,,,1963,,,,,,
SDLA,1960s,2390281,74318,3 axillary buds,"yes, cauline w/ intermediate morphology",y,y-N,26_037,44.6,210.7,2.07,2.59,,,,1964,,,,,,
SDLA,1960s,1443133,UCR0083345,4 axiallary buds,"yes, basal ",y,y-N,25_147,23.6,39.3,1.75,1.78,y,,,1965,,,,,,
SDLA,1960s,2422811,74227,3 axillary buds ,"yes, basal",y,y-N,26_038,11.6,151.4,2.1,2.45,,,,1966,,,,,,
SDLA,1960s,4745856,77910,4 axiallary buds with little leaves,"yes, basal with cauline morphology",y,y-N,25_146,58.5,71.8,1.78,2.03,y,,,1967,,,,,LA,
SDLA,1960s,375697,SDSU01220,multiple axillary bud clusters,"yes, cauline with basal morphology",y,y-N,25_128,0,2.7,2.54,0.69,n,,,1969,,,,,san diego,
SDLA,1970s,304593,UCSB032037,buds w extra,"yes, cauline with basal morphology",y,y-N,25_170,0.35,7.4,1.37,0.91,m,,,1971,,,,,san diego,
SDLA,1970s,469006,SD00062664,5 axillary buds; 2 little leaves,"yes, cauline with cauline morphology ",y,y-N,26_018,2.96,14.9,1.54,1.78,y,,,1971,,,,,,
SDLA,1970s,1133685,RSA0191224,5 axillary bud with little leaves,"yes, cauline with basal morphology",,,,,,,,,,,1971,,,,,,
SDLA,1970s,884527,RSA0191152,3 axillary buds,"yes, unknown but appears to have basal morphology",,,,,,,,,,,1973,,,,,,
SDLA,1970s,2404723,74228,"1 terminal bud cluster, 2 axillary buds","yes, cauline",y,y-N,26_103,2.02,17.9,1.8,1.98,,,,1975,,,,,,
SDLA,1970s,106537,SBBG213844,6 bud clusters,"yes, cauline w/ intermediate morphology",y,y,25_129,0,2.6,2.39,0.72,n,,,1977,,,,,,
SDLA,1970s,778436,RSA0023267,3 axillary buds,"yes, unknown but appears to have basal morphology",,,,,,,,,,,1977,,,,,,
SDLA,1980s,1079969,RSA0191213,"3 axillary bud, 1 terminal","yes, cauline with basal morphology",,,,,,,,,,,1980,,,,,,
SDLA,1980s,1443129,UCR0083346,3 axiallary buds,"yes, cauline w/ intermediate morphology",y,y-N,26_092,x,49.8,1.86,2.16,,,,1981,,,,,,
SDLA,1980s,469013,SD00062665,4 axiallary buds,"yes, cauline w/ intermediate morphology",y,y-N,26_021,11.1,23.2,1.76,2.64,y,,,1984,,,,,,
SDLA,1980s,1459130,UCR0083335,4 bud clusters,"yes, cauline with basal morphology",y,y-N,25_144,35.1,55.9,1.79,1.86,y,,,1986,,,,,,
SDLA,1980s,1459129,UCR0083371,"3 axiallary buds, 2 little leaves","yes, cauline w/ intermediate morphology",y,y-N,26_090,13.7,43.2,1.93,2.12,,,,1986,,,,,,
SDLA,1980s,33390,SBBG213840,5 axillary buds,"yes, cauline w/ intermediate morphology",y,failed,25_143,0.063,3.5,1.79,1,n,,,1988,,,,,,
SDLA,1980s,1459128,UCR0083336,4 axiallary buds,"yes, cauline with cauline morphology ",y,y-N,25_192,97.8,12.9,1.81,2,y!,,,1988,,,,,,
SDLA,1990s,3503027,UC1584034,3 axiallary buds,"yes, basal",y,y-N,26_034,118,1311.4,2.12,2.4,y,,,1991,,,,,,
SDLA,1990s,4743360,75601,4 axiallary buds,"yes, basal",y,y-N,26_104,x,261.1,1.96,2.42,,,,1993,,,,,,
SDLA,1990s,469019,SD00060083,clusters and big bud,"yes, cauline",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1993,,,,,,
SDLA,1990s,1493728,UCR0111504,4 axiallary buds,"yes, cauline with cauline morphology ",y,y-N,26_091,x,64.3,1.9,2.1,,,,1993,,,,,,
SDLA,1990s,1467990,UCR0083342,"3 axiallary bud, 1 little leaf","yes, basal",y,y-N,26_089,x,268.9,2.07,2.34,,,,1996,,,,,,
SDLA,1990s,1474360,UCR0083338,3 axiallary buds,"yes, basal",y,y-N,25_213,137,49,1.84,2.27,y,,,1997,,,,,,
SDLA,1990s,668312,RSA0191272,5 axillary buds,"yes, basal",,,,,,,,,,,1997,,,,,,
SDLA,1990s,899090,RSA0191296,3 axillary buds,"yes, basal",,,,,,,,,,,1997,,,,,,
SDLA,1990s,824961,RSA0191206,6 axillary buds,"yes, cauline w/ intermediate morphology",,,,,,,,,,,1998,,,,,,
SDLA,2000s,469025,SD00062738,several bud clusters and extra buds,"yes, cauline with basal morphology",y,y-OG,25_076,5.59,71.1,2.16,2.34,m,,,2000,,,,,san  diego,
SDLA,2000s,469031,SD00062660,several axiallary buds,"yes, cauline",y,y-OG,25_074,2.07,16.8,1.98,2.04,y,,,2003,,,,,,
SDLA,2000s,469053,SD00062753,"3 axiallary bud, 1 little leaf","yes, cauline with cauline morphology ",y,y-OG,25_093,29.1,136.8,2.05,2.1,m,,,2003,,,,,,
SDLA,2000s,389892,SDSU15680,few axillary buds,"yes, cauline with basal morphology",y,y-OG,25_069,3.7,33.7,2.12,1.75,m,,,2003,,,,,,
