id,catalogNumber,institutionCode,specificEpithet,year,month,county,decimalLatitude,decimalLongitude,selected,nearest_id,nearest_km,cohort,sampled,nearest_sampled
1654175,UCR0083397,UCR,sativus,2012,2,Sacramento,38.57083,-121.13056,y,1368001,17.02298478,new,y,n
1671160,UCR0083398,UCR,raphanistrum,2014,4,Sacramento,38.33611,-121.13944,y,1368001,24.05612334,new,y,n
1654228,UCR0083408,UCR,sativus,2012,3,Yolo,38.67722,-121.67028,y,4095407,19.21513874,new,y,n
1660287,UCR0083406,UCR,sativus,2010,4,Solano,38.495,-121.70917,y,4095407,20.89158695,new,y,n
1660296,UCR0083405,UCR,sativus,2010,4,Solano,38.495,-121.70917,y,4095407,20.89158695,new,y,n
2772133,550643,CAS,sativus,1937,3,San Luis Obispo ,35.32574,-120.73412,y,202449,2.134263594,old,n,y
2366615,74232,CAS,sativus,1927,4,San Diego,32.8067,-116.61255,y,469085,4.343718777,old,n,y
4095387,CDA-0008344,CDA,sativus,2007,3,San Diego,33.2438,-117.4261,y,468973,5.264221667,new,n,y
4095409,CDA-0043702,CDA,sativus,2012,5,San Diego,33.4497,-117.4203,y,468986,9.38409482,new,n,y
4095416,,CDA,sativus,2001,3,San Luis Obispo,35.294994,-120.663834,y,3293792,4.734446325,new,n,y
4085847,,CDA,sativus,2018,2,San Luis Obispo,35.2603,-120.6832,y,3293792,5.35664303,new,n,y
4095414,CDA-0049892,CDA,sativus,2017,2,San Luis Obispo,35.2652,-120.685,y,3293792,5.475299862,new,n,y
4095415,CDA-0049955,CDA,sativus,2017,2,San Luis Obispo,35.2669192,-120.6862836,y,3293792,5.589484004,new,n,y
4085988,,CDA,raphanistrum,2018,3,San Luis Obispo,35.26652,-120.68753,y,3293792,5.702908454,new,n,y
4084876,CDA-0043773,CDA,raphanistrum,2004,2,San Luis Obispo,35.0517,-120.525,y,3440200,7.140920648,new,n,y
4095384,CDA-0049159,CDA,raphanistrum,2016,2,Madera,36.985208,-119.875801,y,3792179,14.19105121,new,n,y
4095413,CDA-0049115,CDA,sativus,2016,2,Fresno,36.87833333,-119.5536111,y,3792179,21.229926,new,n,y
5776205,DAV243575,DAV,sativus,2007,4,San Mateo,37.181002,-122.383001,y,3306212,21.95561905,new,n,y
1368057,DAV310399,DAV,sativus,1930,5,San Diego,33.02028,-117.20278,y,469157,1.195425816,old,n,y
1368002,DAV310416,DAV,sativus,1929,3,Alameda,37.89552,-122.26519,y,3475357,15.2405979,old,n,y
1368035,DAV310410,DAV,sativus,1933,4,Alameda,37.87291,-122.25191,y,3475357,16.09119948,old,n,y
5329933,GMDRC7837,GMDRC,raphanistrum,2015,3,San Diego,32.6333,-116.923717,y,468990,10.29858327,new,n,y
5330424,GMDRC7833,GMDRC,sativus,2015,3,San Diego,32.6333,-116.923717,y,468990,10.29858327,new,n,y
630761,IRVC101210,IRVC,sativus,2004,12,San Diego,33.0953,-117.3139,y,468966,0.720733752,new,n,y
634491,IRVC101164,IRVC,raphanistrum,2003,5,San Diego,32.57278,-116.75778,y,468990,19.46969231,new,n,y
3904090,LA00606071,LA,sativus,1921,3,Alameda,37.873341,-122.238895,y,3475357,15.30548657,old,n,y
3123760,LOB102260,LOB,sativus,2019,5,Orange,33.595915,-117.484077,y,468986,23.23419741,new,n,y
2252335,OBI145924,OBI,sativus,2014,2,San Luis Obispo,35.333888,-120.823404,y,2338864,4.231522907,new,n,y
4620146,,OBI,sativus,2014,2,San Luis Obispo,35.333888,-120.823404,y,2338864,4.231522907,new,n,y
5760426,OBI183611,OBI,sativus,2022,2,San Luis Obispo,35.26449,-120.68484,y,3293792,5.463771783,new,n,y
3641757,OBI166658,OBI,raphanistrum,2019,7,Santa Cruz,37.04521,-122.224,y,3306212,2.760325988,new,n,y
3641756,OBI166657,OBI,sativus,2019,7,Santa Cruz,37.04735,-122.226,y,3306212,2.867836258,new,n,y
4562413,OBI148565,OBI,sativus,2017,12,Santa Barbara,34.421881,-119.879608,y,3525429,3.555074937,new,n,y
1024091,,RSA,sativus,2005,4,San Diego,32.9647,-117.2567,y,468967,3.347123187,new,n,y
977847,,RSA,sativus,2005,4,San Diego,32.9631,-117.25,y,468967,3.503899844,new,n,y
5800340,RSA0508289,RSA,sativus,2019,5,San Diego,33.31783,-117.43864,y,468973,3.76480936,new,n,y
1056531,,RSA,sativus,2001,6,San Diego,33.22518,-117.10087,y,468975,11.57645423,new,n,y
1156433,,RSA,sativus,2002,5,San Diego,33.22518,-117.10087,y,468975,11.57645423,new,n,y
1249156,,RSA,sativus,2002,5,San Diego,33.22518,-117.10087,y,468975,11.57645423,new,n,y
790470,RSA0041564,RSA,sativus,2014,5,San Diego,33.36119,-117.32249,y,468987,3.407312928,new,n,y
1191094,RSA0010464,RSA,sativus,2015,5,San Diego,33.327,-117.2664,y,468987,5.205786728,new,n,y
3815086,RSA0150929,RSA,sativus,2016,4,San Diego,33.32722,-117.26621,y,468987,5.221680829,new,n,y
3808605,RSA0146497,RSA,raphanistrum,2015,3,San Diego,32.6333,-116.9237167,y,468990,10.29857108,new,n,y
3805929,RSA0141056,RSA,sativus,2015,3,San Diego,32.6333,-116.9237167,y,468990,10.29857108,new,n,y
1171501,,RSA,raphanistrum,2003,5,San Diego,32.5666667,-116.7577778,y,468990,20.03062019,new,n,y
5976409,RSA0577830,RSA,sativus,2020,5,Los Angeles,33.949111,-118.443169,y,468996,3.493447672,new,n,y
6026439,RSA0618917,RSA,sativus,2020,5,Los Angeles,33.95189,-118.44,y,468996,3.622875181,new,n,y
3841582,RSA0196618,RSA,raphanistrum,2015,3,Los Angeles,34.1527778,-117.8313889,y,2449627,5.11322921,new,n,y
1201840,,RSA,raphanistrum,2003,5,Los Angeles,34.1752222,-117.8498056,y,2449627,6.626772549,new,n,y
1092827,,RSA,sativus,1940,3,Alameda,37.8585,-122.2773611,y,202480,16.66139726,old,n,y
945473,,RSA,sativus,1934,3,San Diego,33.38047,-117.57051,y,469119,1.744916081,old,n,y
884140,,RSA,sativus,1932,3,Riverside,33.5368,-117.1719,y,1548194,5.909767579,old,n,y
981549,,RSA,sativus,1930,5,Los Angeles,34.1112,-118.3733,y,1699178,3.171077125,old,n,y
1110471,,RSA,sativus,1930,4,Contra Costa,38.032614,-121.682031,y,3349335,23.93972945,old,n,y
1007750,,RSA,sativus,1935,3,Los Angeles,34.235923,-117.658744,y,5549192,13.7521063,old,n,y
