Lab_ID,CCH2_ID,Herbarium_ID,year,tiss_wt.mg,tiss_type,tissue_notes,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,Nano_curve,gel?,gel_notes,other_notes,date_extracted,usable?,importance,priority
25_089,469105,SD00062729,2006,~29,leaf,mature leaf and one flw bud,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_090,469044,SD00062760,2005,16,axiallary bud,1 massive axiallary bud,,,,,,,,"saved tissue, accurate weight",251027,,,
25_091,469123,SD00062583,2009,12.2,"axiallary buds, bud cluster","axillary bud, floral bud clusters","axillary bud, floral bud clusters",,,,,,,"saved tissue, accurate weight",251027,,,
25_092,469138,SD00062775,2012,5.2,"axiallary buds, bud cluster","3 axillary bud, 1 terminal",,,,,,,,"saved tissue, accurate weight",251027,,,
25_093,469053,SD00062753,2003,~16,axiallary bud + leaf,"3 axiallary bud, 1 little leaf",,,,,,,,"saved tissue, accurate weight",251027,,,
25_094,469063,SD00062589,2005,41,axiallary bud,1 massive axiallary bud,,,,,,,,"saved tissue, accurate weight",251027,,,
25_095,469115,SD00062731,2006,7.6,axiallary bud,4 axillary buds,,,,,,,,"saved tissue, accurate weight",251027,,,
25_096,6014478,SD00087803,2019,~1,axiallary bud + leaf,"2 little axiallary buds, one tiny leaf",,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_097,3700296,SD00030202,2010,~5,axiallary bud + leaf,several tiny axillary buds and a few lil leaves,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_098,469058,SD00062561,2004,7.5,axiallary bud,5 axillary buds,,,,,,,,"saved tissue, accurate weight",251027,,,
25_099,3771777,SBBG174263,2018,~15,bud cluster,5 bud clusters,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_100,2264695,SBBG166103,2019,~18,axiallary bud + leaf,5 axillary buds; 1 little leaves,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
