"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","higherClassification","kingdom","phylum","class","order","family","scientificName","simplifiedName","taxonID","scientificNameAuthorship","genus","subgenus","specificEpithet","verbatimTaxonRank","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","associatedCollectors","recordNumber","eventDate","eventDate2","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","behavior","vitality","fieldNumber","eventID","informationWithheld","dataGeneralizations","dynamicProperties","associatedOccurrences","associatedSequences","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","preparations","locationID","continent","waterBody","islandGroup","island","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","OG_geodeticDatum","geodeticDatum_translated_to.WGS83","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collID","recordID","references","X","X.1","X.2","X.3","X.4","X.5","X.6"
2039506,"CHSC","VascularPlants","","PreservedSpecimen","3a8fac81-ce78-4ec1-b8c4-12e9e8605a49","CHSC026459","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","R.E. Preston","1/4/82","","","","",NA,"P. Moyer","","69","11/7/71","",1971,11,7,311,NA,"11/7/71","","Flowers white with purple veins.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","Butte","","CSUC Campus. Lot between stadium and parking lot.","",0,NA,39.730556,-121.844444,"NAD83","",402,"39ß 43m 50s N; 121ß 50m 40s W","Bill Carlson","","","","",61,NA,NA,NA,NA,"200ft.","","","","4/12/23 0:18","",44,"3a8fac81-ce78-4ec1-b8c4-12e9e8605a49","https://cch2.org/portal/collections/individual/index.php?occid=2039506","","",NA,NA,NA,NA,""
304593,"UCSB","","","PreservedSpecimen","fc2bda82-1a5d-11e3-b49f-525400a0a001","UCSB032037","41794","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"MacKay, Shelley","","97","5/11/71","",1971,5,11,131,NA,"","","Old weedy lot","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"Sheet - 1",NA,"",NA,NA,NA,"United States","California","Orange","","0.1 mile west of Bloomfield Avenue, Cypress","",0,NA,33.82089,-118.06455,"WGS84","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","6/11/14 9:26","",35,"e1c45cb5-a958-46a9-a418-6e2a488260f0","https://cch2.org/portal/collections/individual/index.php?occid=304593","","",NA,NA,NA,NA,""
469006,"SD","","","PreservedSpecimen","630EFCCD-2853-48B8-85DA-D7FC9DEDF1EE","SD00062664","SD80504","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Helen V. Witham","","1465","5/18/71","",1971,5,18,138,NA,"5/18/71","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","FFL","",0,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","San Diego","","San Onofre Bluffs State Beach.","",0,NA,33.36028,-117.54147,"WGS84","",1609,"","mak","","TOPO! v3.4.2","","",30,NA,NA,NA,NA,"","","","","9/4/24 12:55","SD80504",43,"bfdb68f6-99ab-42f7-adb7-7653ac6c3931","https://cch2.org/portal/collections/individual/index.php?occid=469006","","",NA,NA,NA,NA,""
202478,"OBI","","","PreservedSpecimen","96aa3274-db8c-4f72-844f-98c1d4128512","OBI101752","3510","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Lynch","","23","5/21/71","",1971,5,21,141,NA,"21-May-71","","","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"pressed herbarium specimen",NA,"",NA,NA,NA,"United States","California","San Luis Obispo","","On E bank of Smith Reservoir; Cal Poly Campus","",0,NA,35.30831,-120.6664,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","4/16/13 0:00","",12,"170f910d-261a-4849-b332-915138bc6a08","https://cch2.org/portal/collections/individual/index.php?occid=202478","","",NA,NA,NA,NA,""
5509708,"UCJEPS","VASC","","PreservedSpecimen","fd3e933d-5574-4985-af3c","UC2079007","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","Dale Pendell (original label determination)","","",NA,"Dale Pendell","","7","2/27/71","",1971,2,27,58,59,"28-Feb-71","","Along open lots","","To about 1 m.; flowers; lavender-purple",NA,NA,NA,NA,NA,"","",NA,NA,"","Flowering/Fruiting","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"United States","California","Santa Barbara","","Southern California Coast, Santa Barbara region, foothills of Topatopa Mountains. Hillcrest Dr. near Mnt. Drive E reservoir","",0,NA,NA,NA,"","",NA,"","","","Z","","",152,NA,NA,NA,NA,"500","","","","4/25/22 13:40","UC2079007",46,"8f9cd9db-4764-4048-accc-e869bd52b589","https://cch2.org/portal/collections/individual/index.php?occid=5509708","","",NA,NA,NA,NA,""
304577,"UCSB","","","PreservedSpecimen","fc2bb002-1a5d-11e3-b49f-525400a0a001","UCSB032021","28298","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Ann M. Howald","","112","3/28/71","",1971,3,28,87,NA,"","","In open sunny fields; in semi moist sandy alluvium; with Brassica campestris and Silybum marianum","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"Sheet - 1",NA,"",NA,NA,NA,"United States","California","Santa Barbara","","Refugio Canyon, 18.5 miles north of Santa Barbara","",0,NA,34.5022,-120.0659,"NAD83","",2900,"","gwahlert (2019-09-11 17:20:43)","","georef batch tool 2019-09-11","","Terrain Nav. v. 8.7 (copied from UCSB28307)",NA,NA,NA,NA,NA,"","","","","6/11/14 9:20","",35,"d8a7e4bf-e4bb-4f15-866a-32414c440d21","https://cch2.org/portal/collections/individual/index.php?occid=304577","","",NA,NA,NA,NA,""
5697344,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:684496","684496","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Guest, Catherine","","40","4/11/71","",1971,4,11,101,NA,"11-Apr-71","Many stems 5-7 decimeters tall; petals purple with dark purple veins. . CalState Hayward. .","Exposed, west facing slope.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Santa Clara","","Atrascedero Road, Los Altos Hills","",0,NA,37.39375,-122.15587,"","",NA,"","","","","","",122,NA,NA,NA,NA,"400.0000000000 ft","","en","","12/9/22 13:39","urn:catalog:CAS:BOT-BC:684496",1,"38d72263-14e6-4df0-a870-52f2cae68684","https://cch2.org/portal/collections/individual/index.php?occid=5697344","","",NA,NA,NA,NA,""
202454,"OBI","","","PreservedSpecimen","97407eae-3fe5-4993-9f25-6bbb3d23f982","OBI101778","23272","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Barbara Mannon","","7","8/26/72","",1972,8,26,239,NA,"26-Aug-72","","","","2-3 ft in ht spread 4 ft",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"pressed herbarium specimen",NA,"",NA,NA,NA,"United States","California","San Luis Obispo","","1/2 mi N of Los Osos in vacant lot","",0,NA,35.3213,-120.83198,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","4/16/13 0:00","",12,"eb1a4e25-5ef2-46e4-88e8-fcf1f1a282b5","https://cch2.org/portal/collections/individual/index.php?occid=202454","","",NA,NA,NA,NA,""
5569852,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:685180","685180","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Gigliati, Lou","","57","8/18/72","",1972,8,18,231,NA,"8/18/72","Height: 1.5 feet tall. . CalState Hayward. .","25 miles south of Half Moon Bay. Sea level. Rich soil, full sun.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","San Mateo","","Ana Nueva State Park","",0,NA,NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,"","","en","","6/27/22 10:12","urn:catalog:CAS:BOT-BC:685180",1,"38b805f9-2aa9-4467-9734-819e819ce59e","https://cch2.org/portal/collections/individual/index.php?occid=5569852","","",NA,NA,NA,NA,""
5569853,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:685181","685181","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Rusley, Eleanor","","95","8/18/72","",1972,8,18,231,NA,"8/18/72","Height up to 18 inches. Lvs large, parted to diveded. Fls cymose, white. . CalState Hayward. .","Sand dunes and edge of a field. Full sun.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","San Mateo","","Ana Nuevo Pt","",0,NA,37.12545,-122.32609,"","",NA,"","","","","","",5,NA,NA,NA,NA,"15.0000000000 ft","","en","","6/27/22 10:16","urn:catalog:CAS:BOT-BC:685181",1,"c5df57e4-f1ad-4862-a381-d2ed35e1eb5e","https://cch2.org/portal/collections/individual/index.php?occid=5569853","","",NA,NA,NA,NA,""
2342720,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:74214","74214","urn:catalog:CAS:DS:724147","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum",29701,"L.","Raphanus",NA,"raphanistrum","","","Species","Ihsan A. Al-Shehbaz","2010-01","","","","",NA,"Wiggins, Ira L.","","21956","9/19/72","",1972,9,19,263,NA,"19 Sept. 1972","Few scattered plants. Plants rather attenuate.","Among stand of Pinus murrayana.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Tuolumne","","Northeast side of Herring Creek ca. 1 km. above dam at Herring Creek Reservoir.","",0,NA,38.25214,-119.92675,"","",NA,"","","","","","",2195,NA,NA,NA,NA,"7200.0000000000 ft","","en","","5/13/11 12:23","urn:catalog:CAS:BOT-BC:74214",1,"8cca89ab-b75b-471d-aeda-220a5780050c","https://cch2.org/portal/collections/individual/index.php?occid=2342720","","",NA,NA,NA,NA,""
5504868,"CAS","BOT-BC","","PreservedSpecimen","urn:catalog:CAS:BOT-BC:684507","684507","","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus sativus","Raphanus sativus",29702,"L.","Raphanus",NA,"sativus","","","Species","","","","","","",NA,"Hoppes, Bill","","25","5/12/73","",1973,5,12,132,NA,"12-May-73","Tall forb 36 inches tall, highly branched Inflorences quite adbundant, blue and pink mixture. . CalState Hayward. . .","Growing in Avena Bromus, Lolium grassland in level area.","","",NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"",NA,NA,"",NA,"North America",NA,NA,NA,"United States","California","Alameda","","Coyote Hills Regional Park","",0,NA,37.55184,-122.09995,"","",NA,"","","","","","",30,NA,NA,NA,NA,"100.0000000000 ft","","en","","6/15/22 13:57","urn:catalog:CAS:BOT-BC:684507",1,"fbbffd8b-fe5f-4974-988f-fdb570dae944","https://cch2.org/portal/collections/individual/index.php?occid=5504868","","",NA,NA,NA,NA,""
