id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references
469138,SD,,,PreservedSpecimen,67DC1572-AE7A-4E41-9F8D-0B917781FDC5,SD00062775,SD221612,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Jon P. Rebman,W. Schmidtmann & G. Kenney,22454,2/16/12,,2012,2,16,47,NA,2/16/12,,mostly sandy substrates,,"Annual, flowers purple; rare",NA,NA,NA,NA,NA,,,NA,NA,"Riparian with Salix lasiolepis, Salix exigua, S. laevigata, Platanus racemosa, Baccharis salicifolia, Xanthium strumarium, Lotus heermannii, Quercus agrifolia, Artemisia californica, and A. douglasiana",FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Camp Pendleton: along the Santa Margarita River; northwest of Lake O'Neill and southwest of the hospital; just east of Santa Margarita Road in the vicinity of the dry ponds,,0,NA,33.3326,-117.33208,WGS84,,NA,,n/a,,Coordinates from label,,n/a,30,NA,NA,NA,NA,,,,,9/4/24 12:55,SD221612,43,29a57967-1bab-42c2-9d30-437fe197c82c,https://cch2.org/portal/collections/individual/index.php?occid=469138
469163,SD,,,PreservedSpecimen,209EAF8B-B6F6-4B26-8D1E-CB661C083F36,SD00062698,SD252095,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Nancy Nenow,,2149,2/4/12,,2012,2,4,35,NA,2/4/12,,,,Erect plant 3 feet tall with lavender flowers and cylindrical fruit.,NA,NA,NA,NA,NA,,,NA,NA,Coastal Sage Scrub,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Pacific Beach; La Jolla Mesa; SW of Mt.Soledad in the canyon at the end of Van Nuys Way off Van Nuys Street; 80 yards W of Caminito Bayo,,0,NA,32.8143,-117.25377,WGS84,,NA,,n/a,,Coordinates from label,,n/a,72,NA,NA,NA,NA,,,,,9/4/24 12:55,SD252095,43,96e1b99e-6514-4e90-8a6e-6c4c0f9a5e5c,https://cch2.org/portal/collections/individual/index.php?occid=469163
469173,SD,,,PreservedSpecimen,C3CAF59C-B9F3-440F-B23D-492DA975A604,SD00062724,SD253730,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Nancy Nenow,,2183,2/11/12,,2012,2,11,42,NA,2/11/12,,,,Plant 3 feet tall with lavender flowers and large basal leaves.,NA,NA,NA,NA,NA,,,NA,NA,Coastal Sage Scrub,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Carlsbad; in vacant lot near east side of N Coast Hwy 101 (S-21); just north of La Costa Ave. and west of railroad tracks.,,0,NA,33.08363,-117.30874,WGS84,,NA,,n/a,,Coordinates from label,,n/a,13,NA,NA,NA,NA,,,,,9/4/24 12:55,SD253730,43,04770d4e-dd13-440a-b7c7-ecb81d173d33,https://cch2.org/portal/collections/individual/index.php?occid=469173
469160,SD,,,PreservedSpecimen,F9CC14B0-D7F7-4E75-9065-33CDB99A7705,SD00062701,SD252092,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Nancy Nenow,,2333,3/13/12,,2012,3,13,73,NA,3/13/12,,,,Plant 3 feet tall with pink flowers and long seedpods.,NA,NA,NA,NA,NA,,,NA,NA,Coastal Sage Scrub,FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Rancho Santa Fe; on the south side of San Dieguito County Park; just N of Highway S-8 (Loma Santa Fe Drive) east of baseball field along trail,,0,NA,32.99681,-117.23397,WGS84,,NA,,n/a,,Coordinates from label,,n/a,79,NA,NA,NA,NA,,,,,9/4/24 12:55,SD252092,43,612098c6-3b1a-4070-af67-0acacdf507f9,https://cch2.org/portal/collections/individual/index.php?occid=469160
469139,SD,,,PreservedSpecimen,540FD60E-1328-43D0-A54F-4916E0C6A600,SD00062706,SD223379,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Jon P. Rebman,Parabotany volunteers,23298,4/19/12,,2012,4,19,110,NA,4/19/12,,"mostly, wet muddy substrates",,"Annual, flowers white; rare",NA,NA,NA,NA,NA,,,NA,NA,"Wetland vegetation with Persicaria amphibia, Brassica nigra, Dipsacus sativus, Frankenia salina, Bromus hordeaceus, Bromus diandrus, Ambrosia psilostachya, Schoenoplectus americanus, and S. californicus",FL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,Sweetwater Reservoir property: South of Jamacha Blvd. and just west of Reservoir Dr.; northeast side of the Reservoir,,0,NA,32.71373,-116.97712,WGS84,,NA,,n/a,,Coordinates from label,,n/a,70,NA,NA,NA,NA,,,,,9/4/24 12:55,SD223379,43,bb0c045b-cee2-424b-9350-fdf1b57ff2ef,https://cch2.org/portal/collections/individual/index.php?occid=469139
469140,SD,,,PreservedSpecimen,CE3E87EE-B2F3-41DE-A5CF-E1BA091F3D62,SD00062774,SD225505,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Jon P. Rebman,"W. Schmidtmann, G. Kenney, J. Martin",24372,5/30/12,,2012,5,30,151,NA,5/30/12,,,,"Annual, flowers light purple; rare",NA,NA,NA,NA,NA,,,NA,NA,"Grassland/Oak Woodland/Riparian with Quercus agrifolia, Salix spp., Baccharis salicifolia, Platanus racemosa, Toxicodendron diversilobum, Schoenoplectus californicus, and Juncus spp.",FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,"Camp Pendleton: Training Area Echo; west of Santa Margarita Peak; east of Case Springs Road, around Case Springs Lake",,0,NA,33.44973,-117.42031,WGS84,,NA,,n/a,,Coordinates from label,,n/a,660,NA,NA,NA,NA,,,,,9/4/24 12:55,SD225505,43,f9b556f2-ffba-4faf-a41e-a3f257d0bfe0,https://cch2.org/portal/collections/individual/index.php?occid=469140
394122,SDSU,,,PreservedSpecimen,6a08d6c0-51f7-4045-bd00-721a55b73a53,SDSU19952,19952,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,"Andrews, Joelle M.",Michael G. Simpson,6,4/16/12,,2012,4,16,107,NA,4/16/12,MTRP,"Inland sage scrub and riparian community, in grassland area.",Sandy soil.,"Annual herb with taproot, about 4-5ft tall, light purple corolla.",NA,NA,NA,NA,NA,,,NA,NA,,In flower and fruit.,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,"Mission Trails Regional State Park, 1/8 mi. west of Old Mission Dam.",,0,NA,32.83894,-117.04552,,,NA,32.84∞ N; 117.05∞ W,,,,,,91,NA,NA,NA,NA,298ft.,,,preprocessed,4/12/23 0:18,,6,6a08d6c0-51f7-4045-bd00-721a55b73a53,https://cch2.org/portal/collections/individual/index.php?occid=394122
394165,SDSU,,,PreservedSpecimen,13df7597-d4e9-47a0-b503-d5b571af879e,SDSU19995,19995,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,"Stilson, Barbara",Michael G. Simpson,2,4/17/12,,2012,4,17,108,NA,4/17/12,MTRP,"Open, coastal sage scrub.",Mixed silty and gravelly soil.,"Annual, terrestrial, herb, 1.5-2 ft, alternate, green with white or purple flowers.",NA,NA,NA,NA,NA,,,NA,NA,,In flower and fruit.,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,"Mission Trails Regional Park, west of Old Mission Dam, San Diego, about 75 ft northeast of bridge, start of Oak Canyon trail.",,0,NA,32.83893,-117.04566,,,NA,32.84∞ N; 117.05∞ W,,,,,,148,NA,NA,NA,NA,485ft.,,,preprocessed,4/12/23 0:18,,6,13df7597-d4e9-47a0-b503-d5b571af879e,https://cch2.org/portal/collections/individual/index.php?occid=394165
1655769,UCR,,,PreservedSpecimen,UCR-BPS-238965,UCR0083356,UCR-238965,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,,NA,Jon P. Rebman,"Warren Schmidtmann, Gwen Kenney, John Martin",24372,5/30/12,,2012,5,30,151,NA,5/30/12,"Annual, flowers light purple; rare.","Grassland/oak woodland/riparian with Quercus agrifolia, Salix, Baccharis salicifolia, Platanus racemosa, Toxicodendron diversilobum, Schoenoplectus californicus, Juncus.",,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering & Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,"Camp Pendleton: Training Area Echo; west of Santa Margarita Peak, east of Case Springs Road, around Case Springs Lake. Square: B4",,0,NA,33.44969,-117.42031,,,NA,,,,Collector GPS,,,660,NA,NA,NA,NA,,,,,9/7/24 22:01,UCR-BPS-238965,3,33b49c4d-7ff5-44bd-8eeb-1ccbcce9e447,https://cch2.org/portal/collections/individual/index.php?occid=1655769
1667093,UCR,,,PreservedSpecimen,UCR-BPS-245048,UCR0083355,UCR-245048,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,A.C. Sanders,2014,,,,,,NA,Jon P. Rebman,"Jerry Greene, Tom Barckley, C. Brennen, J. Carlstrom",24884,6/19/12,,2012,6,19,171,NA,6/19/12,"Annual, fls. lavender; rare.","Granitic substrates. Coastal Sage Scrub/Chaparral with Adenostoma fasciculatum, Artemisia californica, Quercus agrifolia, Artemisia douglasiana, Ambrosia psilostachya, Ceanothus tomentosus, Malosma laurina, and Eriogonum fasciculatum.",,,NA,NA,NA,NA,NA,,,NA,NA,,Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,"Daley Ranch, northeast of Escondido, west of County Hwy S6, and north of Dixon Lake; along creek Crossing Trail in canyon of Jack Creek. Square: H11",,0,NA,33.169,-117.04769,,,NA,,,,Collector GPS,,,370,NA,NA,NA,NA,,,,,9/7/24 22:01,UCR-BPS-245048,3,301e9db4-18c2-405b-9026-b12e8426903b,https://cch2.org/portal/collections/individual/index.php?occid=1667093
469147,SD,,,PreservedSpecimen,099B4C38-C566-4BF0-8CF5-2F6477CC5C41,SD00062650,SD235297,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,Jon P. Rebman,,,,,,NA,Jon P. Rebman,W. Schmidtmann & G. Kenney,26273,5/7/13,,2013,5,7,127,NA,5/7/13,,,,"Annual, flowers purplish; rare",NA,NA,NA,NA,NA,,,NA,NA,"Riparian with Quercus agrifolia, Platanus racemosa, Lepidospartum squamatum, Baccharis salicifolia, Toxicodendron diversilobum, Heterotheca sessiflora and Eriogonum fasciculatum",FFL,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,"Camp Pendleton: northeast portion of Base; Training Area Hotel; northwest of Fallbrook, just south of De Luz Road along the Santa Margarita River",,0,NA,33.39675,-117.26296,WGS84,,NA,,n/a,,Coordinates from label,,n/a,80,NA,NA,NA,NA,,,,,9/4/24 12:55,SD235297,43,7d6c4ecf-e1cf-4d29-b415-6d65a394dc59,https://cch2.org/portal/collections/individual/index.php?occid=469147
