id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,tissue collected date,
2287409,2287409,CAS,74310,1982,"1 axillary bud, 1 terminal bud cluster","yes, cauline",purple on sheet ,,,,,
2369931,2369931,CAS,74273,1958,2 terminal bud cluster,"yes, cauline ",beige on sheet ,,,,,
https://www.cch2.org/portal/collections/individual/index.php?occid=2358923&clid=0,NA,CAS,74342,1897,"2 axillary bud, 1 terminal bud","yes, cauline w/ intermediate morphology",purple on sheet ,,,,,
2336172,2336172,CAS,74305,1907,"1 axillary bud, 2 terminal bud cluster, 1 little leaf","yes, cauline w/ intermediate morphology",beige purple veins on sheet ,,,,,
2446817,2446817,CAS,74250,1921,"4 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, cauline w/ intermediate morphology",beige on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,
2388593,2388593,CAS,74249,1921,2 axillary buds,"yes, cauline w/ intermediate morphology",purple on sheet ,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,
2360184,2360184,CAS,74357,1953,2 terminal bud cluster,"yes, cauline w/ intermediate morphology",white purple veins on label,,,,,
2275918,2275918,CAS,74350,1953,4 axiallary buds,"yes, cauline w/ intermediate morphology",purple on sheet,,,,,
2380407,2380407,CAS,74360,1954,3 axiallary buds,"yes, cauline w/ intermediate morphology",purple on sheet,unsampled duplicate (diff month) if extraction fails (74361),,,,
2287008,2287008,CAS,74320,1956,4 axiallary buds,"yes, cauline w/ intermediate morphology","white, light veins on sheet",,,,,
2391489,2391489,CAS,74332,1956,1 axillary bud,"yes, cauline w/ intermediate morphology",beige on sheet,,,,,
2300993,2300993,CAS,74325,1957,"2 axiallary bud, 1 terminal bud","yes, cauline w/ intermediate morphology",purple on sheet,,,,,
2420423,2420423,CAS,74322,1957,"2 axillary buds, 2 little leaves","yes, cauline w/ intermediate morphology",purple on sheet ,,,,,
2406304,2406304,CAS,74326,1960,3 axiallary buds,"yes, cauline w/ intermediate morphology",purple on sheet,,,,,
2298121,2298121,CAS,74191,1961,"2 terminal bud cluster, 2 axillary bud, 1 little leaf","yes, cauline w/ intermediate morphology",beige on sheet,,,,,
2390281,2390281,CAS,74318,1964,3 axillary buds,"yes, cauline w/ intermediate morphology",purple on sheet,,,,,
5569855,5569855,CAS,685183,1966,4 axiallary buds,"yes, cauline w/ intermediate morphology",purple on sheet,one bud cluster with shiny glue! Avoid,,,,
2452819,2452819,CAS,74300,1970,"1 large terminal bud cluster, 1 axially bud","yes, cauline w/ intermediate morphology",,unsampled duplicate if extraction fails (74299),,,,
NA,NA,CAS,685179,1972,"1 large axillary bud, 2 little leaf ","yes, cauline w/ intermediate morphology",purple on label,,,,,
2363992,2363992,CAS,74220,1916,"1 axillary bud, 3 terminal bud clusters","yes, cauline with basal morphology",purple on sheet,,"setivus morphology, fruits, hairless buds, purple flowers (very likely sativus)",,,
2368640,2368640,CAS,74209,1920,several bud clusters,"yes, cauline with basal morphology",beige on sheet,,,,,
2352540,2352540,CAS,74248,1921,4 axillary buds,"yes, cauline with basal morphology",beige on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,
2311023,2311023,CAS,74259,1925,3 axillary buds,"yes, cauline with basal morphology",beige on sheet,,,,,
2771954,2771954,CAS,550563,1937,4 terminal bud clusters,"yes, cauline with basal morphology",beige on sheet,"badly dried, likely bad DNA",,,,
2423815,2423815,CAS,74252,1943,4 axillary buds,"yes, cauline with basal morphology",purple on sheet , unsampled duplicate if extraction fails (74251),,,,
2270810,2270810,CAS,74353,1950,"1 large axillary bud, 1 terminal bud cluster","yes, cauline with basal morphology",purple on label and sheet,"2 unsampled duplicates: 0074355, 74354",,,,
2393459,2393459,CAS,74206,1958,"2 terminal bud cluster, 2 axillary bud","yes, cauline with basal morphology",beige on sheet,likely glue on tissue,,,,
2456431,2456431,CAS,74282,1959,3 axillary buds,"yes, cauline with basal morphology",purple on label and sheet,,,,,
5504856,5504856,CAS,684493,1962,5 axillary buds,"yes, cauline with basal morphology",purple on sheet,,,,,
2388759,2388759,CAS,74306,1963,"2 axillary buds, 2 little leaves","yes, cauline with basal morphology",beige on sheet,appears pereniated ,,,,
