"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
19,"5569680",5569680,"CAS","684523","684523","1982",5569680,"CAS","Chaparal Community, San Ramon",,,,,"Contra Costa County",,"3 terminal bud cluster","no",
20,"2405194",2405194,"CAS","74188","74188","1988",2405194,"CAS","Terra Linda Vegetable Garden. San Rafael.",,,,,"Marin County",,"2 axillary buds, 2 terminal bud clusters","no","likely two different individuals "
21,,,"CAS","74189","74189",,2370467,"CAS","Mariposa.",,,,,"Mariposa County",,"3 axillary buds, little leaf","no",
22,"2286213",2286213,"CAS","74276","74276","1891",2286213,"CAS","Wayside - Long Beach.",,"33.76694° N, 118.18833° W",33.76694,-118.18833,"Los Angeles County",,"3 axillary buds, 1 terminal bud cluster, 1 little leaf ","yes, basal","potentially glue on tissue"
28,"2302311",2302311,"CAS","74297","74297","1903",2302311,"CAS","Kaisen District.",,,,,"Mendocino County",,"1 terminal bud cluster","yes, basal",
29,"2296541",2296541,"CAS","74177","74177","1904",2296541,"CAS","Vicinity of Ione.",,,,,"Amador County",,"2 terminal bud clusters, 1 axiallary bud, loose buds","yes, basal",
35,"2450948",2450948,"CAS","74210","74210","1919",2450948,"CAS","Near Rawhide.",,,,,"Tuolumne County",,"4 axillary buds","yes, basal",
36,"2357521",2357521,"CAS","74241","74241","1919",2357521,"CAS","Near Rawhide.",,,,,"Tuolumne County",,"4 axillary buds, 1 little leaf","yes, basal",
39,"2401356",2401356,"CAS","74221","74221","1921",2401356,"CAS","Extending southwards from mouth of Klamath River.",,,,,"Del Norte County",,"2 axillary buds, 1 terminal bud cluster","yes, basal","potentially glue or other unknown substance on tissue"
41,"2384991",2384991,"CAS","74230","74230","1932",2384991,"CAS","Unspecified.",,,,,"Sacramento County",,"3 axillary buds","yes, basal","unsampled duplicate if extraction fails (74229, non specific location data, sampled a month apart)"
