"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
385,"202451",202451,"OBI","OBI101739","OBI101739","1968",202451,"OBI","One block W of hwy 1 on Palm Ave, Marina",,,,,"Napa",,"buds w extra","yes, basal",
386,"202488",202488,"OBI","OBI101756","OBI101756","1968",202488,"OBI","Marina Beach",,,36.689066,-121.810485,"Monterey",,"buds w extra","yes, basal",
387,"202468",202468,"OBI","OBI101760","OBI101760","1969",202468,"OBI","Grand Ave and Abbott St, San Luis Obispo",,,,,"San Luis Obispo",,"buds w extra","yes, basal",
388,"202476",202476,"OBI","OBI101772","OBI101772","1970",202476,"OBI","Half Moon Bay about 14 mi W of San Mateo",,,,,"San Mateo",,"buds w extra","yes, basal",
389,"202473",202473,"OBI","OBI101787","OBI101787","1980",202473,"OBI","MacGillivary Ranch, Adelaida",,,35.640725,-120.85693,"San Luis Obispo",,"buds w extra","yes, basal",
390,"202449",202449,"OBI","OBI101734","OBI101734","2001",202449,"OBI","Campus of California Polytechnic State University. Chorro Creek Ranch south of Highway 1, west of Cuesta College campus. Ca. 35.32604°N x 120.75759°W",,,35.32604,-120.75759,"San Luis Obispo",,"buds w extra","yes, basal","label notes ""white, purple, and apricot"" flws in same pop"
393,"202503",202503,"OBI","OBI101736","OBI101736","1977",202503,"OBI","1330 8th St, Baywood Park",,,,,"San Luis Obispo",,"buds w extra","yes, basal, but dry/yellowed",
394,"202455",202455,"OBI","OBI101767","OBI101767","1957",202455,"OBI","Science Bldg. Cal Poly Campus",,,35.3007,-120.66164,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
395,"202453",202453,"OBI","OBI101750","OBI101750","1966",202453,"OBI","Along hwy 1 at Oceano",,,35.098865,-120.612393,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
396,"202452",202452,"OBI","OBI101738","OBI101738","1968",202452,"OBI",".25 mi from Pope Valley jctn, E on Chiles & Pope Valley Rd, in field E of service station",,,38.61737,-122.4237,"Napa",,"buds w extra","yes, cauline with basal morphology",
397,"202491",202491,"OBI","OBI101785","OBI101785","1969",202491,"OBI","Overlooking the San Francisco Game Refuge",,,,,"San Mateo",,"buds w extra","yes, cauline with basal morphology",
398,"202478",202478,"OBI","OBI101752","OBI101752","1971",202478,"OBI","On E bank of Smith Reservoir; Cal Poly Campus",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
399,"202454",202454,"OBI","OBI101778","OBI101778","1972",202454,"OBI","1/2 mi N of Los Osos in vacant lot",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
400,"202474",202474,"OBI","OBI101784","OBI101784","1979",202474,"OBI","Shell Beach. 500 ft from the Pacific Ocean",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
401,"6008207",6008207,"OBI","OBI213742","OBI213742","1979",6008207,"OBI","10 miles S. of Ragged Point; west side of Calif. 1",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
402,"202457",202457,"OBI","OBI101757","OBI101757","1979",202457,"OBI","Adj to Mustang Village parking lot",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
403,"202447",202447,"OBI","OBI101737","OBI101737","1980",202447,"OBI","1 mi E of US 101 on Calif 166",,,34.957392,-120.55631,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
404,"202461",202461,"OBI","OBI101747","OBI101747","1980",202461,"OBI","1 mi E of US 101 on Calif 166",,,34.957392,-120.55631,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
405,"202494",202494,"OBI","OBI101775","OBI101775","1982",202494,"OBI","SE side of Laguna Lake Park",,,35.26395,-120.68245,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
406,"6008220",6008220,"OBI","OBI204067","OBI204067","1982",6008220,"OBI","Morro Bay salt marsh, 1/4 mile N of Turri Rd and S. Bay Blvd. junction",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
407,"202459",202459,"OBI","OBI101774","OBI101774","1984",202459,"OBI","1/4 mi up Montecito Rd, Cayucos, off hwy 1, side of rd",,,35.440693,-120.869456,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
408,"202484",202484,"OBI","OBI101783","OBI101783","1986",202484,"OBI","1 mi S of Tefft Ave on S Oakglen ave, Nipomo",,,,,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
409,"3630484",3630484,"OBI","OBI161552","OBI161552","2019",3630484,"OBI","Santa Ynez Mountains. Phytojog 2019 trip to The Nature Conservancy's Jack and Laura Dangermond Preserve. Cojo Ranch side. Point Conception, Point Conception Rd. 0.21 miles north of Point Conception Lighthouse, on edge of cliffs.",,"34.45277158, -120.4708787",34.45277158,-120.4708787,"Santa Barbara",,"buds w extra","yes, cauline with basal morphology",
410,"5752868",5752868,"OBI","OBI183593","OBI183593","2022",5752868,"OBI","Laguna Lake Dog park. When heading northwest on the road next to the lake, in the area directly off the roadside.",,,35.26442,-120.68481,"San Luis Obispo",,"buds w extra","yes, cauline with basal morphology",
411,"202470",202470,"OBI","OBI101765","OBI101765","1955",202470,"OBI","Cal Poly San Luis Obispo",,,35.3008,-120.6607,"San Luis Obispo",,"buds w extra","yes, cauline, not basal morphology",
412,"202483",202483,"OBI","OBI101779","OBI101779","1980",202483,"OBI","Black Hill, Morro Bay state park",,,35.3585,-120.8305,"San Luis Obispo",,"buds w extra","yes, cauline, not basal morphology",
413,"6008224",6008224,"OBI","OBI204065","OBI204065","1982",6008224,"OBI","San Luis Creek between US Hwy 101 and lower Higuera St, San Luis Obispo",,,,,"San Luis Obispo",,"buds w extra","yes, cauline, not basal morphology",
414,"202475",202475,"OBI","OBI101744","OBI101744","1988",202475,"OBI","Pismo marsh between Pismo State Beach campground and Grand Ave",,,35.11692,-120.62917,"San Luis Obispo",,"buds w extra","yes, cauline, not basal morphology",
415,"216778",216778,"OBI","OBI101740","OBI101740","2016",216778,"OBI","Southern foothills of San Luis Range. Wild Cherry Ranch west of Avila Beach.",,"Vicinity of; 35.187084° -120.746349°",35.187084,-120.746349,"San Luis Obispo",,"buds w extra","yes, cauline, not basal morphology",
417,"4745869",4745869,"RENO","77919","77919","1960",4745869,"RENO","Redding.",,,40.58654,-122.391675,"Shasta",,"2 terminal bud cluster","yes, basal","odd leaf morphology, deeply serrated margins, maybe moldy DNA tissue, glue on DNA tissue "
418,"4745861",4745861,"RENO","77914","77914","1967",4745861,"RENO","Between Placerville and Plymouth.",,,38.5178,-120.848441,"Amador",,"2 axiallary bud, 2 little leaf, 1 terminal bud cluster","yes, basal","leaf tissue with glue"
419,"4745870",4745870,"RENO","77920","77920","1967",4745870,"RENO","Uvas Meadows Road.",,,37.083157,-121.712391,"Santa Clara",,"3 axiallary buds","yes, basal",
422,"4745854",4745854,"RENO","77908","77908","1987",4745854,"RENO","Sonoma Valley, along CA Hwy 121, 0.4 mile E of its junction with CA Hwy 116 at Big Bend.",,"TRS: T5N R5W sec",38.245122,-122.445,"Sonoma",,"3 axillary bud, 1 terminal","yes, cauline with basal morphology",
423,"does exist for these but annoyingly the RSA id didn't get pulled into the full datasheetâ€¦ can find specimen on cchs with RSA id",,"RSA","RSA0191331","RSA0191331","1990",711677,"RSA","Davis Motel, just north of the UC Davis Campus and adjacent to Highway 80..",,,,,"Yolo",,"3 axillary buds","no",
425,,,"RSA","RSA0191163","RSA0191163","1971",706113,"RSA","At the junction of the Hookton Rd and Copenhagen Rd.",,"T4N R2W S32",,,"Humboldt",,"2 terminal bud cluster, 1 axillary bud","yes, basal","tissue from fragment envelope"
430,,,"RSA","RSA0191288","RSA0191288","1984",645300,"RSA","On hwy 74, 0.9 miles west of the junction of highway 74 and I-40.",,,,,"San Diego",,"4 axillary buds, 1 little leaf","yes, cauline w/ intermediate morphology",
431,,,"RSA","RSA0191325","RSA0191325","1987",1062233,"RSA","Along State Hwy 121, 0.4 mile E of its junction with State Hwy 116 at Big Bend in the Sonoma Valley.",,"T5N R5W S",,,"Sonoma",,"3 axillary buds","yes, cauline w/ intermediate morphology",
433,,,"RSA","RSA0056287","RSA0056287","1968",1209922,"RSA","Shell Beach.",,,,,"San Luis Obispo",,"6 axillary buds, 2 little leaves","yes, cauline with basal morphology",
435,,,"RSA","RSA0191303","RSA0191303","1982",902357,"RSA","On the SE side of Laguna Lake Park from the roadway to the base of hill.",,,,,"San Luis Obispo",,"5 axillary buds","yes, cauline with basal morphology",
438,,,"RSA","RSA0191280","RSA0191280","1929",667072,"RSA","Vista.",,,,,"San Diego",,"3 axillary buds","yes, cauline with cauline morphology ",
439,,,"RSA","RSA0191169","RSA0191169","1928",935273,"RSA","McGaw Slough. Kelseyville. Middle N Coast Mtn range, Cold Creek River.",,,,,"Lake",,"1 terminal bud clusters","yes, cauline with cauline morphology ","tissue from fragment envelope only"
440,,,"RSA","RSA0191323","RSA0191323","1969",1005483,"RSA","Near English Lake. The Salmon Mountains. High Lake Basins in the vicinity of English Peak. Marble Mountain Wilderness.",,,,,"Siskiyou",,"1 axillary bud, 1 terminal bud cluster","yes, cauline with intermediate morphology","tissue from fragment envelope"
445,,,"RSA","RSA0045286","RSA0045286","1983",1089689,"RSA","One mile inland from the ocean in Pacific Beach, San Diego. In a canyon north of the cul de sac of Dawes Ave. Just off Ingrahm Blvd. The canyon runs NE-SW for about a mile.",,,,,"San Diego",,"2 axillary buds","yes, unknown but basal morphology","leaf tissue from packet"
446,,,"RSA","RSA0191129","RSA0191129","1928",747857,"RSA","Kelseyville. Middle N Coast range, Kelsey Creek.",,,,,"Lake",,"5 axillary buds","yes, basal",
450,,,"RSA","RSA0191168","RSA0191168","1925",682744,"RSA","Kelseyville.",,,,,"Lake",,"4 axillary buds","yes, basal",
452,,,"RSA","RSA0029813","RSA0029813","1953",921047,"RSA","Pecho Ranch. On the ocean.",,,,,"San Luis Obispo",,"3 axiallary buds, 1 little leaf","yes, basal",
455,,,"RSA","RSA0191317","RSA0191317","1929",684007,"RSA","Cuyama R. Valley",,,,,"Santa Barbara",,"3 axillary buds","yes, basal",
456,,,"RSA","RSA0191327","RSA0191327","1929",1062094,"RSA","[no locality information provided]",,,,,"Trinity",,"3 axillary buds","yes, basal",
469,,,"RSA","RSA0191238","RSA0191238","1934",1114974,"RSA","Bryant Ranch, E of Long Beach on mesa. Alt 100ft NE of concrete mon. 1864.92ft. S of NW corner of section",,"T4S R12W S34 NW/4",,,"Los Angeles",,"3 axillary buds","yes, unknown but appears to have basal morphology","leaf tissue from fragment packet"
470,,,"RSA","RSA0191319","RSA0191319","1936",1045059,"RSA","Palo Alto, Watershed: San Francisco Bay.",,,,,"Santa Clara",,"3 terminal bud clusters","yes, cauline w/ intermediate morphology",
475,"36646",36646,"SBBG","SBBG213820","SBBG213820","1943",36646,"SBBG","Santa Ynez Mtns: N end of Cheltenham Rd above Tunnel Rd, Mission Cyn",,,34.453,-119.712,"Santa Barbara",,"4 axiallary buds","no",
477,"116271",116271,"SBBG","SBBG213825","SBBG213825","1959",116271,"SBBG","above beach, University of California Santa Barbara",,,34.413,-119.843,"Santa Barbara",,"7 axillary buds","no",
478,"4060635",4060635,"SBBG","SBBG230712","SBBG230712","2020",4060635,"SBBG","West side of Price Canyon Rd.",,,35.191,-120.616,"San Luis Obispo",,"5 axillary buds","no",
479,"108810",108810,"SBBG","SBBG213812","SBBG213812","1939",108810,"SBBG","Los Padres National Forest; upper Camuesa Camp Rd",,,34.50872,-119.57732,"Santa Barbara",,"4 axiallary buds","yes, basal",
480,"130694",130694,"SBBG","SBBG213821","SBBG213821","1944",130694,"SBBG","Santa Ynez Mtns: W of Botanic Garden, Mission Cyn",,,34.454,-119.711,"Santa Barbara",,"5 axillary buds, little lf","yes, basal","little glue on leaf tissue"
481,"92110",92110,"SBBG","SBBG213841","SBBG213841","1967",92110,"SBBG","St Hwy 223, ca. 1 mi S of jct with St Hwy 58",,,35.2525,-118.6691,"Kern",,"7 axillary buds","yes, basal",
482,"91393",91393,"SBBG","SBBG213822","SBBG213822","1982",91393,"SBBG","Santa Ynez Mtns: E side of old San Marcos Pass Rd;, ca. 2.5 km from St Hwy 154 intersection",,,34.4751,-119.7991,"Santa Barbara",,"2 axillary buds","yes, basal",
483,"132624",132624,"SBBG","SBBG213843","SBBG213843","1993",132624,"SBBG","Camp San Luis Obispo; ca. 1 km W of prison camp; Camp San Luis Obispo",,,35.324,-120.716,"San Luis Obispo",,"2 big axillary buds an little leaves","yes, basal","extra DNA tissue"
484,"407313",407313,"SBBG","SBBG213845","SBBG213845","2010",407313,"SBBG","Villanova Prep School, undeveloped hillsides and grasslands on S side of campus, Ojai Valley.",,,34.42711,-119.26089,"Ventura",,"3 huge multibud clusters","yes, basal","extra leaf and DNA tissue"
485,"124275",124275,"SBBG","SBBG213850","SBBG213850","2015",124275,"SBBG","oak woodland between Krotona Hill and Hwy 33, Ojai Valley",,,34.43475,-119.2753,"Ventura",,"4 axiallary buds, few lil leaves","yes, basal","IN SD BAGS"
486,"148536",148536,"SBBG","SBBG213813","SBBG213813","1967",148536,"SBBG","W of Ventura River estuary",,,34.276,-119.308,"Ventura",,"3 terminal  bud clusters","yes, cauline","IN SD BAGS"
487,"110889",110889,"SBBG","SBBG213835","SBBG213835","1944",110889,"SBBG","Pomona",,,34.05547,-117.74912,"San Bernardino",,"4 bud clusters","yes, cauline w/ intermediate morphology","IN SD BAGS"
488,"57675",57675,"SBBG","SBBG213833","SBBG213833","1964",57675,"SBBG","Rockport on St Hwy 1",,,39.739,-123.815,"Mendocino",,"4 bud clusters","yes, cauline w/ intermediate morphology",
489,"92289",92289,"SBBG","SBBG213815","SBBG213815","1967",92289,"SBBG","Maricopa Rd (St Hwy 33), N of and near Fairview Rd crossing",,,34.471,-119.287,"Ventura",,"6 terminal bud clusters","yes, cauline w/ intermediate morphology","IN SD BAGS"
490,"55059",55059,"SBBG","SBBG213842","SBBG213842","1967",55059,"SBBG","St Hwy 223, ca. 1 mi S of jct with St Hwy 58",,,35.2525,-118.6691,"Kern",,"5 axillary buds","yes, cauline w/ intermediate morphology","extra leaf tissue; extra big buds DNA tissue"
491,"106233",106233,"SBBG","SBBG213830","SBBG213830","1967",106233,"SBBG","near seepage 0.25 mi E of Arroyo Burro Beach [Hendry Beach]",,,34.4025,-119.7415,"Santa Barbara",,"4 axiallary buds","yes, cauline w/ intermediate morphology",
492,"106537",106537,"SBBG","SBBG213844","SBBG213844","1977",106537,"SBBG","Oceanside",,,33.1946,-117.3575,"San Diego",,"6 bud clusters","yes, cauline w/ intermediate morphology","extra leaf tissue"
494,"84330",84330,"SBBG","SBBG213817","SBBG213817","2003",84330,"SBBG","Water Treatment Facility, Woodward St entrance, rd side in front of bldg 306, W of Gatchell Rd; Pt Loma Naval Facility",,,32.6903,-117.2492,"San Diego",,"5 bud clusters","yes, cauline w/ intermediate morphology",
495,"147598",147598,"SBBG","SBBG213846","SBBG213846","2010",147598,"SBBG","Villanova Prep School, undeveloped hillsides and grasslands on S side of campus, Ojai Valley.",,,34.42711,-119.26089,"Ventura",,"6 bud clusters","yes, cauline w/ intermediate morphology",
497,"73443",73443,"SBBG","SBBG213811","SBBG213811","1930",73443,"SBBG","Veronica Springs Rd, Santa Barbara",,,34.413,-119.742,"Santa Barbara",,"3 axillary buds","yes, cauline with basal morphology","IN SD BAGS"
498,"89884",89884,"SBBG","SBBG213826","SBBG213826","1942",89884,"SBBG","Santa Ynez Mtns: top of San Marcos Pass",,,34.512,-119.8236,"Santa Barbara",,"3 huge multibud clusters","yes, cauline with basal morphology","extra DNA tissue, maybe with some glue; in SBBG bags from here on "
499,"87856",87856,"SBBG","SBBG213810","SBBG213810","1944",87856,"SBBG","Tunnel Rd, Mission Cyn",,,34.454,-119.71,"Santa Barbara",,"4 axiallary buds","yes, cauline with basal morphology","extra DNA tissue"
500,"98493",98493,"SBBG","SBBG213814","SBBG213814","1945",98493,"SBBG","West Beach, Santa Barbara",,,34.403,-119.698,"Santa Barbara",,"4 axiallary buds, 1 lil leaf","yes, cauline with basal morphology","IN SD BAGS"
501,"76355",76355,"SBBG","SBBG213818","SBBG213818","2001",76355,"SBBG","Olivas Adobe Rd adjacent to Olivas Adobe Park Golf Course; Ventura",,,34.243,-119.2489,"Ventura",,"6 bud clusters, 2 little leaves","yes, cauline with basal morphology","IN SD BAGS"
502,"80367",80367,"SBBG","SBBG213816","SBBG213816","2007",80367,"SBBG","Santa Ynez Mtns: 55 yards N of parking lot, 20 ft W of rd; Arroyo Hondo Preserve",,,34.4778,-120.1417,"Santa Barbara",,"3 axiallary buds","yes, cauline with basal morphology","IN SD BAGS"
503,"95043",95043,"SBBG","SBBG213848","SBBG213848","2015",95043,"SBBG","Santa Clara River; Totalcam I owned by Nature Conservancy",,,34.2367,-119.2369,"Ventura",,"2 axillary bud, 2 terminal bud cluster","yes, cauline with basal morphology",
504,"3771777",3771777,"SBBG","SBBG174263","SBBG174263","2018",3771777,"SBBG","Fallbrook Naval Weapons Station: W of Fallbrook; along Fallbrook Creek, E-central part of station just S of Ammunition Rd in vicinity of Building 351 and along the creek",,,33.36711,-117.26121,"San Diego",,"5 bud clusters","yes, cauline with basal morphology","IN SD BAGS"
505,"2264695",2264695,"SBBG","SBBG166103","SBBG166103","2019",2264695,"SBBG","Storke Ranch Open Space; west side of eastern vernal pool fenced area.",,,34.421134,-119.86677,"Santa Barbara","Goleta","5 axillary buds; 1 little leaves","yes, cauline with basal morphology","IN SD BAGS"
507,"49117",49117,"SBBG","SBBG213827","SBBG213827","1943",49117,"SBBG","Santa Ynez Mtns: N end of Cheltenham Rd at Montrose Place above Tunnel Rd, Mission Cyn",,,34.453,-119.712,"Santa Barbara",,"7 axillary buds","yes, cauline with cauline morphology ","extra leaf tissue"
508,"61217",61217,"SBBG","SBBG213824","SBBG213824","1944",61217,"SBBG","Santa Ynez Mtns: W of Botanic Garden, Mission Cyn",,,34.454,-119.711,"Santa Barbara",,"5 axillary buds, little leaves","yes, cauline with cauline morphology ","extra DNA tissue"
509,"128858",128858,"SBBG","SBBG213829","SBBG213829","1967",128858,"SBBG","harbor breakwater sandspit, Santa Barbara",,,34.406,-119.688,"Santa Barbara",,"5 axillary buds","yes, cauline with cauline morphology ",
510,"79706",79706,"SBBG","SBBG213828","SBBG213828","1974",79706,"SBBG","behind dunes, Signal Oil Company lease property, W of Coal Oil Pt Reserve",,,34.4155,-119.8823,"Santa Barbara",,"8 axillary buds","yes, cauline with cauline morphology ","extra DNA tissue"
511,"469033",469033,"SD","SD00062766","SD00062766","2004",469033,"SD","San Diego Canyon: Switzer Canyon, east of 30th St; near the border of North Park and Golden Hill; North of Hwy94 and East of I-805",,"R10; 32.7341, -117.1285",32.7341,-117.1285,"San Diego",,"2 axillary bud, 2 terminal bud cluster","yes, cauline w/ intermediate morphology",
512,"469002",469002,"SD","SD00062666","SD00062666","1962",469002,"SD","Canyon south of Natural History Museum, Balboa Park.",,"S9; 32.72822, -117.14954",32.72822,-117.14954,"San Diego",,"3 axiallary buds","yes, cauline with basal morphology",
514,"469174",469174,"SD","SD00062723","SD00062723","2012",469174,"SD","Sweetwater River valley; near National City and Chula Vista; N side of Bonita Rd; N side of intersection with Randy Lane, W of Willow Rd and E of 805",,"T11; 32.6522, -117.0495",32.6522,-117.0495,"San Diego",,"3 apical bud clusters, 1 axillary bud","yes, cauline with cauline morphology ",
516,"469091",469091,"SD","SD00062720","SD00062720","2006",469091,"SD","Spring Valley/La Presa; North Shore of Sweetwater Reservoir, directly north of Gum Tree Cove.",,"S12; 32.7031, -116.9936",32.7031,-116.9936,"San Diego",,"4 axiallary buds","yes, basal",
517,"469095",469095,"SD","SD00062585","SD00062585","2005",469095,"SD","San Diego, Balboa Park Golf Club, N of Club House in ravine between 28th St and Pershing Drive",,"S9; 32.7271, -117.1372",32.7271,-117.1372,"San Diego",,"4 axiallary buds","yes, basal",
520,"469147",469147,"SD","SD00062650","SD00062650","2013",469147,"SD","Camp Pendleton: northeast portion of Base; Training Area Hotel; northwest of Fallbrook, just south of De Luz Road along the Santa Margarita River",,"C7; 33.39675, -117.26296",33.39675,-117.26296,"San Diego",,"2 axillary, 3 apical bud clusters","yes, basal","extra DNA and leaf tissue"
522,"3113067",3113067,"SD","SD00023691","SD00023691","2017",3113067,"SD","South San Pasqual Valley; along trail parallel to Bandy Canyon Road 0.78 mile NE of junction Bandy Canyon Road and Sky High Road.",,"K12; 33.0755, -116.99747",33.0755,-116.99747,"San Diego",,"3 axiallary buds","yes, cauline",
524,"469135",469135,"SD","SD00062557","SD00062557","2011",469135,"SD","San Miguel Ranch: East of Bonita and south of the Sweetwater Reservoir; south of the hill called Gobblers Nob, east of Highway 125 and just north of Proctor Valley Road",,"T12; 32.66451, -116.9877",32.66451,-116.9877,"San Diego",,"5 axillary buds; 2 little leaves","yes, cauline w/ intermediate morphology",
526,"469129",469129,"SD","SD00062655","SD00062655","2008",469129,"SD","Chollas Radio Canyon, N of Market St, between Euclid and Merlin.",,"S11; 32.71083, -117.08139",32.71083,-117.08139,"San Diego",,"3 axillary bud, 1 terminal","yes, cauline w/ intermediate morphology","extra leaf tissue"
527,"469069",469069,"SD","SD00062559","SD00062559","2004",469069,"SD","Los Caballos Horse Camp, Cuyamaca Rancho State Park. Around pipe corrals on loop road.",,"M20; 32.9734, -116.5727",32.9734,-116.5727,"San Diego",,"2 axillary bud, 3 terminal bud cluster","yes, basal","extra leaf tissue"
528,"469152",469152,"SD","SD00062702","SD00062702","2014",469152,"SD","Camp Pendleton: northwestern portion of Base; San Mateo Creek just west of Guacamole Road and near the convergence with Cristianitos Creek",,"C1; 33.42007, -117.57031",33.42007,-117.57031,"San Diego",,"1 axillary bud, 2 terminal bud cluster","yes, cauline w/ intermediate morphology","extra leaf tissue"
529,"469151",469151,"SD","SD00062705","SD00062705","2011",469151,"SD","Cleveland National Forest, Cuyamaca Mountains, along Boulder Creek Road, 2.7 miles WNW of Cuyamaca Peak, 0.9 mile WSW of Sill Hill, 4.0 mile ESE Eagle Peak, 0.25 mile NW of junction with Tule Springs Road",,"M19; 32.9583, -116.6516",32.9583,-116.6516,"San Diego",,"5 axillary buds","yes, cauline w/ intermediate morphology",
530,"469165",469165,"SD","SD00062696","SD00062696","2012",469165,"SD","Sweetwater River bikepath; between National City and Chula Vista; N of river channel; near overpass Highway 54 and railroad tracks; just Eof I-5",,"T10; 32.6528, -117.1026",32.6528,-117.1026,"San Diego",,"4 axiallary buds","yes, basal",
535,"3620051",3620051,"SD","SD00025459","SD00025459","2017",3620051,"SD","Rancho Santa Fe; western edge of Puerta del Sol Road; south of Linea Del Cielo in vacant lot; 0.25 mile N of junction with Las Palomas.",,"L8; 33.00921, -117.2255",33.00921,-117.2255,"San Diego",,"7 axillary buds","yes, basal","USE SMALL buds for extraction (some mold on some of DNA tissue) ; extra leaf tissue (from pouch)"
536,"469113",469113,"SD","SD00062733","SD00062733","2007",469113,"SD","Oceanside, 7 miles inland at Guajome County Park, directly E of the intersection of Mission Ave (Hwy 76) and North Santa Fe Ave",,"G7; 33.24587, -117.27584",33.24587,-117.27584,"San Diego",,"6 axillary buds","yes, cauline with cauline morphology ",
539,"469046",469046,"SD","SD00062759","SD00062759","2005",469046,"SD","0.5 mile SE of entrance to Inaja picnic area on Highway 78/79 between Santa Isabel and Wynola",,"J19; 33.096, -116.6624",33.096,-116.6624,"San Diego",,"4 axiallary buds","no",
540,"468964",468964,"SD","SD00062718","SD00062718","1935",468964,"SD","Mahogany Canyon, East San Diego.",,"R10; 32.76805, -117.09675",32.76805,-117.09675,"San Diego",,"4 axiallary buds, 1 terminal bud cluster, 1 leaf","yes, basal","good basal leaf tissue, extra leaf tissue"
541,"468991",468991,"SD","SD00062716","SD00062716","1935",468991,"SD","Mesa, east of East San Diego",,"32.7693, -117.0824",32.7693,-117.0824,"San Diego",,"3 axillary bud, 1 terminal bud cluster, 1 little leaf","yes, basal",
543,"468971",468971,"SD","SD00062678","SD00062678","1936",468971,"SD","San Pasqual Battlefields.",,"J12; 33.08208, -116.99193",33.08208,-116.99193,"San Diego",,"5 axillary buds","yes, basal","poisoned lpcp 1970"
544,"468967",468967,"SD","SD00062673","SD00062673","1936",468967,"SD","1 mile east of Solano Beach in valley.",,"L7; 32.99464, -117.25219",32.99464,-117.25219,"San Diego",,"4 axiallary buds","yes, basal","poisoned lpcp 1970"
546,"468977",468977,"SD","SD00062676","SD00062676","1937",468977,"SD","Mar Vista at Pacific Beach.",,"32.80427, -117.24817",32.80427,-117.24817,"San Diego",,"6 axillary buds","yes, basal",
549,"469044",469044,"SD","SD00062760","SD00062760","2005",469044,"SD","Balboa Park, Vermont St. canyon at Cypress St.",,"R9; 32.7433, -117.1544",32.7433,-117.1544,"San Diego",,"2 large multibud axilary bud clusters","yes, basal","extra DNA tissue"
550,"469175",469175,"SD","SD00062722","SD00062722","2012",469175,"SD","City of San Diego; Fiesta Island; E Mission Bay; Perimeter road by Hidden Anchorage; about 1 mi W of intersection Tecolote Road and Morena Blvd; W of I-5 and N of I-8.",,"R8; 32.773, -117.221",32.773,-117.221,"San Diego",,"4 axiallary buds","yes, basal",
556,"469061",469061,"SD","SD00062747","SD00062747","2005",469061,"SD","Anza-Borrego Desert State Park. South side of San Felipe Wash about 0.1 mi west of the intersection with County Hwy S-3 near emergency call box #78-671.",,"I24; 33.1349, -116.3841",33.1349,-116.3841,"San Diego",,"3 axiallary buds","yes, cauline w/ intermediate morphology",
562,"468968",468968,"SD","SD00062672","SD00062672","1936",468968,"SD","Tiajuana River near Monument School.",,"W11; 32.55134, -117.08282",32.55134,-117.08282,"San Diego",,"4 axiallary buds","yes, cauline with cauline morphology ","poisoned lpcp 1970"
565,"469007",469007,"SD","SD00062663","SD00062663","1967",469007,"SD","Proctor Valley",,"T14; 32.68073, -116.92162",32.68073,-116.92162,"San Diego",,"3 bud clusters","yes, cauline",
569,"468996",468996,"SD","SD00062799","SD00062799","1931",468996,"SD","El Segundo",,"33.92241, -118.42313",33.92241,-118.42313,"Los Angeles",,"1 axiallary bud, several small leaves, 1 terminal floral bud cluster","yes, basal","maybe glue on DNA tissue; extra tissue"
571,"468970",468970,"SD","SD00062671","SD00062671","1936",468970,"SD","1 mile west of San Marcos.",,"I9; 33.13653, -117.18212",33.13653,-117.18212,"San Diego",,"bud clusters and yound leaves","yes, basal","extra tissue (leaves likely with some glue)"
576,"469021",469021,"SD","SD00061955","SD00061955","1952",469021,"SD","National City",,"T10; 32.67811, -117.09919",32.67811,-117.09919,"San Diego",,"1 axiallary bud; 2 flower bud clusters","yes, basal","extra tissue"
577,"469027",469027,"SD","SD00062662","SD00062662","2000",469027,"SD","San Diego Urban Canyons, North Park/Golden Hill: Cedar Ridge Park area, canyon area along I-15",,"S10; 32.7225, -117.1175",32.7225,-117.1175,"San Diego",,"2 axillary buds","yes, basal",
579,"469067",469067,"SD","SD00062648","SD00062648","2005",469067,"SD","Los Caballos equestrian campground, Cuyamaca Rancho State Park. Approx. 0.8 air mile north of Stonewall Peak and 0.4 mile east of interesection of State Hwy 79 and paved access road to Stonewall Mine. Along loop road at metal horse corrals..",,"M20; 32.972, -116.5693",32.972,-116.5693,"San Diego",,"3 axillary buds","yes, basal",
580,"469114",469114,"SD","SD00062734","SD00062734","2006",469114,"SD","Oceanside: San Luis Rey River Valley, adjacent to SR76 at SE corner of SR76 and Loretta St., about 0.9km E Interstate 5.",,"H5; 33.21111, -117.37611",33.21111,-117.37611,"San Diego",,"several bud clusters","yes, basal",
